"longitude","latitude","station_name"
"966204",-95.6261,39.0725,"TOPEKA MUNI AP"
"966205",-90.6828,38.6989,"WELDON SPRING NWS"
"966206",-92.3989,33.8228,"FORDYCE"
"966207",-89.2344,37.4814,"ANNA 2 NNE"
"966208",-99.9483,46.8947,"STEELE 4N"
"966209",-96.7475,40.8508,"LINCOLN MUNI AP"
"966210",-98.5325,43.0689,"PICKSTOWN"
"966211",-82.6261,27.7628,"ST PETERSBURG AP"
"966212",-100.6694,41.1214,"NORTH PLATTE RGNL AP"
"966213",-102.7769,38.4758,"EADS"
"966214",-90.7417,41.2019,"ALEDO"
"966215",-111.7428,35.2681,"FT VALLEY"
"966216",-85.0814,35.9508,"CROSSVILLE MEM AP"
"966217",-100.4936,40.6742,"CURTIS 3NNE"
"966218",-103.2153,38.0636,"LAS ANIMAS"
"966219",-95.3247,43.4483,"LAKE PARK"
"966220",-98.0919,46.1458,"OAKES"
"966221",-95.7483,43.4047,"SIBLEY"
"966222",-101.8606,43.9611,"COTTONWOOD 2 E"
"966223",-92.6661,44.2992,"ZUMBROTA"
"966224",-96.3703,39.2142,"WAMEGO 4 W"
"966225",-89.1931,37.9878,"DU QUOIN 4 SE"
"966226",-89.6839,39.8447,"SPRINGFIELD CAPITAL AP"
"966227",-96.5917,43.3056,"CANTON"
"966228",-98.13,39.0294,"LINCOLN 1 SE"
"966229",-95.1467,43.1653,"SPENCER 1 N"
"966230",-98.3136,40.9611,"GRAND ISLAND AP"
"966231",-92.5644,43.7047,"GRAND MEADOW"
"966232",-122.6511,45.6778,"VANCOUVER 4 NNE"
"966233",-102.5167,40.8592,"SEDGWICK 5 S"
"966234",-105.4661,38.1311,"WESTCLIFFE"
"966235",-106.73,36.5928,"EL VADO DAM"
"966236",-84.2186,39.9061,"DAYTON INTL AP"
"966237",-87.7775,41.7372,"CHICAGO MIDWAY AP 3SW"
"966238",-94.36,39.8914,"AMITY 4 NE"
"966239",-103.5931,41.8706,"SCOTTSBLUFF HEILIG AP"
"966240",-102.8967,42.1103,"ALLIANCE 1WNW"
"966241",-103.6933,38.0392,"ROCKY FORD 2 SE"
"966242",-82.5403,27.9619,"TAMPA INTL AP"
"966243",-91.4378,43.9994,"TREMPEALEAU DAM 6"
"966244",-101.6706,41.2097,"KINGSLEY DAM"
"966245",-91.0958,42.7858,"GUTTENBERG L&D 10"
"966246",-109.075,37.3858,"HOVENWEEP NM"
"966247",-91.9347,34.175,"PINE BLUFF GRIDER FLD"
"966248",-106.7597,32.2822,"STATE UNIV"
"966249",-90.3683,34.7281,"TUNICA 2 N"
"966250",-87.685,40.4664,"HOOPESTON"
"966251",-93.3019,43.6064,"ALBERT LEA 3 SE"
"966252",-123.19,44.6342,"CORVALLIS STATE UNIV"
"966253",-89.8214,34.6989,"INDEPENDENCE 1W"
"966254",-89.9664,37.3036,"MARBLE HILL"
"966255",-101.0344,40.5233,"HAYES CENTER 1NW"
"966256",-93.1331,39.4247,"BRUNSWICK"
"966257",-97.2128,38.9267,"ABILENE"
